t_s,i,adc
2.6886475999999995,2443,388
2.6896395,2444,385
2.6906809000000003,2445,388
2.6916621999999997,2446,388
2.6935482000000004,2447,385
2.6945970999999993,2448,387
2.6956124,2449,386
2.696617099999999,2450,388
2.6976382999999995,2451,386
2.6986779999999992,2452,388
2.6996931999999987,2453,388
2.7016098,2454,388
2.702597599999999,2455,388
2.7036140999999994,2456,388
2.704616999999999,2457,388
2.705638499999999,2458,387
2.7066793999999987,2459,388
2.7076469000000003,2460,388
2.709555999999999,2461,388
2.710581399999999,2462,386
2.7116042999999994,2463,387
2.7126316999999993,2464,388
2.713647699999999,2465,388
2.7147194999999993,2466,388
2.7157187999999994,2467,386
2.7175779,2468,386
2.7185819999999996,2469,388
2.719673499999999,2470,388
2.7206317999999996,2471,387
2.7216465999999997,2472,386
2.722674699999999,2473,386
2.7236630999999996,2474,388
2.7255658999999994,2475,387
2.7265952,2476,386
2.7276685999999994,2477,386
2.728668899999999,2478,388
2.729641299999999,2479,386
2.7306928,2480,389
2.7317032,2481,388
2.7335832,2482,388
2.7345916,2483,388
2.7356149999999992,2484,387
2.7366349999999997,2485,388
2.737648199999999,2486,387
2.7386913999999987,2487,386
2.7397137999999988,2488,387
2.7416418999999994,2489,387
2.7425990000000002,2490,388
2.7436226999999995,2491,388
2.7446401,2492,388
2.7456476,2493,386
2.7467268999999987,2494,388
2.747710999999999,2495,388
2.7495839999999987,2496,386
2.750605499999999,2497,386
2.7516225999999993,2498,388
2.7526446999999994,2499,388
2.753647899999999,2500,386
2.7548385999999994,2501,387
2.7557028,2502,386
2.757575599999999,2503,386
2.758591599999999,2504,387
2.7596135999999998,2505,389
2.7606292999999997,2506,388
2.7616411999999997,2507,388
2.7627556,2508,388
2.7636938000000004,2509,388
2.7655683,2510,388
2.766596,2511,386
2.7676787999999988,2512,387
2.7686808999999997,2513,388
2.7696414999999988,2514,387
2.7706801,2515,388
2.7716914999999993,2516,389
2.773581,2517,389
2.7745977999999987,2518,388
2.7756133999999992,2519,388
2.776630599999999,2520,388
2.7776414000000003,2521,388
2.778825399999999,2522,387
2.7797286999999997,2523,388
2.781643299999999,2524,386
2.7826142999999988,2525,386
2.7836181999999994,2526,386
2.7846379,2527,388
2.7856609999999993,2528,386
2.7866692000000004,2529,388
2.787694,2530,388
2.7895687000000002,2531,387
2.790591299999999,2532,386
2.7916211000000004,2533,387
2.7926441000000004,2534,388
2.793661199999999,2535,389
2.7949187,2536,388
2.795724699999999,2537,388
2.7975788,2538,389
2.798600199999999,2539,388
2.7996382000000004,2540,388
2.8006288,2541,388
2.8016515,2542,388
2.802661799999999,2543,388
2.803660599999999,2544,387
2.805577999999999,2545,386
2.8066002999999995,2546,386
2.8076068999999997,2547,387
2.8086745000000004,2548,388
2.809671699999999,2549,388
2.8107270999999994,2550,386
2.8125500999999993,2551,388
2.8135849000000004,2552,388
2.814602899999999,2553,386
2.815614,2554,388
2.816635099999999,2555,387
2.8176509999999997,2556,387
2.8186608999999994,2557,386
2.8205621999999995,2558,386
2.8216497999999994,2559,388
2.822610299999999,2560,387
2.8236334000000003,2561,386
2.8246377000000003,2562,387
2.8256517999999993,2563,387
2.8267790999999995,2564,388
2.8285599999999995,2565,387
2.8295741000000003,2566,386
2.830604299999999,2567,386
2.8316336999999994,2568,389
2.8326393000000003,2569,387
2.833659299999999,2570,388
2.8347321,2571,389
2.8365530000000003,2572,389
2.8375854999999994,2573,389
2.838600999999999,2574,388
2.8396171,2575,387
2.840627399999999,2576,388
2.841667899999999,2577,388
2.842772199999999,2578,389
2.8445640999999995,2579,388
2.8455791,2580,389
2.8466030999999994,2581,387
2.8476267999999987,2582,388
2.8486855,2583,387
2.849661899999999,2584,388
2.8506840999999987,2585,387
2.8525479999999988,2586,388
2.8535833999999998,2587,387
2.854600399999999,2588,389
2.8556179000000004,2589,386
2.8566281,2590,386
2.8576680000000003,2591,388
2.8587182,2592,387
2.860556599999999,2593,388
2.8616779,2594,386
2.8626009999999997,2595,388
2.8636178,2596,388
2.8646271,2597,388
2.865667199999999,2598,387
2.8666824999999996,2599,389
2.868556,2600,387
2.8695810999999996,2601,387
2.8705904999999987,2602,388
2.8716327999999987,2603,387
2.8726491000000003,2604,386
2.8736520999999993,2605,388
2.8747799,2606,387
2.8765570999999994,2607,386
2.8775999999999993,2608,386
2.8786078999999987,2609,386
2.879625899999999,2610,388
2.880646799999999,2611,386
2.8816524,2612,387
2.882675599999999,2613,388
2.8845618999999996,2614,388
2.8855902999999987,2615,387
2.8866005999999995,2616,389
2.887618,2617,388
2.888691399999999,2618,386
2.8896540999999996,2619,388
2.8908194,2620,387
2.8925599999999996,2621,387
2.893583399999999,2622,387
2.894591,2623,388
2.895633,2624,385
2.8966475999999997,2625,386
2.8976512999999997,2626,388
2.8986739999999998,2627,387
2.9005624,2628,386
2.9016664,2629,387
2.9026018999999987,2630,389
2.9036206,2631,388
2.904639099999999,2632,386
2.905668799999999,2633,387
2.906721299999999,2634,387
2.9085577999999987,2635,390
2.9095838,2636,387
2.910590899999999,2637,388
2.911632599999999,2638,388
2.912649199999999,2639,390
2.9146047,2640,388
2.914806799999999,2641,388
2.9165685000000003,2642,389
2.9175918999999997,2643,390
2.9186131,2644,388
2.9196175999999987,2645,389
2.920637899999999,2646,389
2.9216670999999987,2647,387
2.9227097000000004,2648,388
2.924562999999999,2649,388
2.925590399999999,2650,386
2.926612799999999,2651,387
2.9276164,2652,388
2.9287098999999994,2653,389
2.9296907,2654,389
2.9306884999999987,2655,388
2.9325484999999993,2656,389
2.9335959999999996,2657,388
2.9346134,2658,388
2.9356174,2659,388
2.9366383000000003,2660,387
2.9376783,2661,389
2.9386881000000002,2662,388
2.9405561000000002,2663,387
2.9416323999999996,2664,389
2.9426422,2665,389
2.943619,2666,387
2.9446391999999992,2667,388
2.9456806999999987,2668,388
2.946683199999999,2669,389
2.948547699999999,2670,388
2.949595799999999,2671,388
2.9506125999999995,2672,388
2.951616999999999,2673,389
2.9526383000000003,2674,388
2.953683399999999,2675,389
2.9547586,2676,388
2.9565704000000004,2677,386
2.9575911,2678,388
2.958613999999999,2679,388
2.9596166000000004,2680,388
2.9606396000000004,2681,387
2.9616781000000003,2682,388
2.9626897999999997,2683,387
2.964565799999999,2684,388
2.9655965999999996,2685,387
2.9666113999999997,2686,388
2.9676285999999994,2687,389
2.968786399999999,2688,389
2.969690999999999,2689,387
2.970678099999999,2690,389
2.9725833999999995,2691,388
2.9735899999999997,2692,388
2.974611399999999,2693,387
2.9756295,2694,388
2.9766385999999994,2695,388
2.977679799999999,2696,387
2.9786962,2697,388
2.9805662,2698,388
2.9816269,2699,386
2.9826366999999987,2700,386
2.9836299000000004,2701,386
2.9846915999999997,2702,388
2.985680199999999,2703,387
2.986688299999999,2704,389
2.9885816,2705,389
2.9895902999999997,2706,386
2.9906118,2707,387
2.9916283999999997,2708,389
2.9926402999999997,2709,388
2.9936796,2710,387
2.9946932000000004,2711,388
2.996585699999999,2712,390
2.997591,2713,389
2.9986122999999996,2714,388
2.9996414,2715,387
3.0006398,2716,387
3.0016806999999996,2717,389
3.0027013,2718,389
3.004574999999999,2719,387
3.005581099999999,2720,386
3.0066030999999995,2721,388
3.0076441000000003,2722,387
3.0087189999999993,2723,387
3.0096840999999994,2724,388
3.0106941999999997,2725,386
3.0126761,2726,386
3.0136097,2727,388
3.0146224999999998,2728,386
3.0156390999999996,2729,386
3.0166489,2730,389
3.0176654999999997,2731,387
3.018684799999999,2732,387
3.0205751999999997,2733,388
3.021599,2734,387
3.022641199999999,2735,386
3.023633499999999,2736,389
3.0246502,2737,388
3.0256790999999996,2738,386
3.0266941000000003,2739,389
3.0285662,2740,388
3.0296085,2741,388
3.0306268999999997,2742,387
3.0316478999999994,2743,388
3.0326608999999998,2744,388
3.0336672999999994,2745,386
3.034685699999999,2746,388
3.0365786999999997,2747,388
3.0375952999999996,2748,388
3.038603,2749,386
3.0396441000000003,2750,387
3.0406581999999993,2751,388
3.041663999999999,2752,388
3.0426859000000004,2753,388
3.0445811000000003,2754,388
3.0456021999999994,2755,388
3.046633,2756,388
3.0476408,2757,386
3.0487494999999996,2758,386
3.049702999999999,2759,388
3.0506896999999995,2760,387
3.0525816999999993,2761,387
3.0536022999999997,2762,388
3.0546118,2763,388
3.0556289000000003,2764,386
3.0566508,2765,386
3.0576782,2766,386
3.0595283999999996,2767,386
3.0605665999999996,2768,388
3.0616541,2769,386
3.0626713,2770,386
3.0636338999999992,2771,386
3.0646509,2772,385
3.0656809000000003,2773,386
3.0675507999999994,2774,385
3.0685661,2775,386
3.0696082999999987,2776,386
3.0706238,2777,387
3.0716298999999996,2778,388
3.0726506999999987,2779,388
3.073691,2780,387
3.075566499999999,2781,388
3.0765896999999995,2782,388
3.0776094999999994,2783,386
3.0786371,2784,388
3.0796396999999995,2785,388
3.08066,2786,386
3.0817096,2787,386
3.0835671,2788,388
3.0845781999999993,2789,385
3.0856095000000003,2790,385
3.0866238999999993,2791,384
3.0876427,2792,384
3.088731299999999,2793,386
3.089709899999999,2794,386
3.091528799999999,2795,386
3.0925668999999996,2796,386
3.093609299999999,2797,385
3.094655699999999,2798,387
3.0956452999999993,2799,386
3.096657499999999,2800,387
3.0976847000000003,2801,387
3.0995650999999995,2802,388
3.1005754000000003,2803,388
3.1015929,2804,388
3.102671299999999,2805,386
3.103648699999999,2806,387
3.1046677000000003,2807,388
3.1056855,2808,388
3.107528499999999,2809,388
3.1085791,2810,388
3.1096459999999997,2811,388
3.1106336,2812,385
3.111642099999999,2813,385
3.1126802,2814,386
3.1136774999999997,2815,386
3.1156083999999993,2816,387
3.1166093999999998,2817,387
3.1176104999999996,2818,386
3.1186279,2819,386
3.1196433,2820,388
3.1206534,2821,388
3.1216928,2822,386
3.123528499999999,2823,387
3.124579299999999,2824,386
3.1256141999999993,2825,387
3.126638099999999,2826,386
3.127661099999999,2827,385
3.1288085,2828,386
3.1297204,2829,388
3.1315592999999993,2830,388
3.132591099999999,2831,386
3.133595699999999,2832,386
3.1346168999999993,2833,386
3.1356541999999994,2834,386
3.136673,2835,386
3.1376735,2836,386
3.1395210999999996,2837,384
3.1406064999999987,2838,388
3.1416053999999995,2839,385
3.1426714999999987,2840,387
3.143640699999999,2841,388
3.1446480999999995,2842,388
3.1456917000000004,2843,387
3.1475519999999992,2844,389
3.148585299999999,2845,388
3.1495932999999994,2846,388
3.1506311999999994,2847,388
3.1516576999999995,2848,388
3.1526813999999987,2849,387
3.153684799999999,2850,387
3.1556713,2851,387
3.1566267000000003,2852,388
3.1576262999999987,2853,386
3.1586388000000003,2854,388
3.159657599999999,2855,386
3.1606615,2856,388
3.1616830999999994,2857,388
3.1635498,2858,386
3.164596099999999,2859,389
3.1656128,2860,388
3.1666276,2861,389
3.1676474999999993,2862,388
3.1687046999999993,2863,388
3.1697235999999993,2864,389
3.1715400000000002,2865,390
3.172596199999999,2866,387
3.173605199999999,2867,388
3.174633,2868,387
3.1756531,2869,387
3.1766720999999993,2870,389
3.177681399999999,2871,388
3.1795472,2872,386
3.1805962999999995,2873,388
